ex_serial|ex_type|ex_code|ex_body_part|ex_description
754|MR|E05       |HD|MRI HEAD - BRAIN MS C-
755|MR|E06       |HD|MRI HEAD - BRAIN TLE C-
756|MR|E07       |HD|MRI PITUITARY C-
757|MR|E08       |HD|MRI PITUITARY C+
758|MR|E09       |HD|MRI CRANIAL NERVES C+
759|MR|E10       |HD|MRI IAMs C-
898|MR|E100      |HD|MRI HEAD - BRAIN METS C+
899|MR|E101      |HD|MRI HEAD - CSF FLOW C-
900|MR|E102      |HD|MRI HEAD-CHOLESTEATOMA/TEMPORAL BONES C+
901|MR|E103      |HD|MRI HEAD - PULSATILE TINNITUS C+
903|MR|E105      |HD|MRA HEAD C+
904|MR|E106      |AB|MRI ABDOMEN AAA SIZING C-
906|MR|E108      |HD|MRI PAED HIPS BILATERAL
907|MR|E109      |HD|MRI PAED SPINE SCREEN
760|MR|E11       |HD|MRI IAM C+
908|MR|E110      |OT|MRI MSK MYELOMA C-
909|MR|E111      |SP|MRI SCOLIOSIS SPINE C-
912|MR|E114      |AB|MRI ABDOMEN UROGRAM C
913|MR|E115      |OT|MRA TWIST - TRICKS
932|MR|E116      |HD|MRI BRAIN LIMITED T2 C-
7521|MR|E117      |SP|MRI NEUROGRAPHY
7522|MR|E118      |AB|MRI SPLEEN C+/-
7523|MR|E119      |AB|MRI ABDOMEN PELVIS C+/-
761|MR|E12       |HD|MRI IAM - COCHLEAR IMPLANT C-
3020|MR|E120      |OT|DHB MRI VISIONAIRE
3648|MR|E123      |SP|MRI PAED SPINE DYSRAPHISM
3649|MR|E124      |AB|MRI APPENDIX C-
3650|MR|E125      |LL|MRI HAMSTRING
3669|MR|E126      |CH|MRI BREAST
762|MR|E13       |HD|MRI TMJs C-
3860|MR|E130      |OT|Whole Body STIR
6002|MR|E131      |WR|MRI WRIST ARTHROGRAM
6003|MR|E132      |OT|MRA PERIPHERAL
6004|MR|E133      |FT|MRI FOOT
6005|MR|E134      |LO|MRI LOWER LIMB
6006|MR|E135      |UL|MRI UPPER LIMB
6009|MR|E136      |AB|MRI ABDOMEN (NMDHB)
6010|MR|E137      |AB|MRI PELVIS SOFT TISSUE (NMDHB)
6011|MR|E138      |OT|MRI ADDITIONAL REGION (NMDHB)
6056|MR|E139      |AB|MRI ANAL CANCER STAGING C-
763|MR|E14       |HD|MRI SINUSES C+
6057|MR|E140      |SP|MRI SPINE - SPINE INFECTION FU C+
6058|MR|E141      |SP|MRI PAED SPINE C+
6059|MR|E142      |LO|MRI SINGLE HIP INFECTION
6060|MR|E143      |HD|MRI PAED HEAD - BRAIN TUMOUR FOLLOW-UP
6061|MR|E144      |HD|MRI HEAD - BRAIN MS C+
6066|MR|E147      |OT|MRI PAED MSK BONE TUMOUR
6073|MR|E148      |WR|MRI HAND/FINGERS
6839|MR|E149      |OT|MRI PARAGANGLIOMA c+
764|MR|E15       |HD|MRI ORBITS C+
6816|MR|E150      |HD|MRI HEAD - RT PLANNING C+
6929|MR|E151      |SP|MRI SPINE CERVICAL MS C- (+/-Gad) 
6930|MR|E152      |SP|MRI SPINE THORACIC MS C- (+/-Gad)
6931|MR|E153      |SP|MRI SPINE CSF LEAK MYELOGRAM C+
6932|MR|E154      |HD|MRI HEAD - BASE OF SKULL C+
6933|MR|E155      |AB|MRI ABDOMEN PANCREAS WITH SECRETIN C+
6934|MR|E156      |AB|MRI ABDOMEN HILAR C-
6935|MR|E157      |AB|MRI ABDOMEN LIVER LAB C-
6936|MR|E158      |AB|MRI PELVIS URETHRA C-
6939|MR|E159      |UA|MRI PECTORALIS MAJOR
765|MR|E16       |NK|MRI NECK - SOFT TISSUE C+
6940|MR|E160      |OT|MRI ONCOLOGY FULL BODY SCAN
6941|MR|E161      |CH|MRI CARDIAC FUNCTION
6942|MR|E162      |CH|MRI CARDIAC ANATOMY
6943|MR|E163      |CH|MRI CARDIAC VIABILITY
6944|MR|E164      |CH|MRI CARDIAC CARDIOMYOPATHY
6945|MR|E165      |CH|MRI CARDIAC ARVC
6948|MR|E166F     |CH|MRI CARDIAC CONGENITAL FONTAN
6949|MR|E166O     |CH|MRI CARDIAC CONGENITAL OTHER
6947|MR|E166S     |CH|MRI CARDIAC CONGENITAL TGA
6946|MR|E166T     |CH|MRI CARDIAC CONGENITAL TOF
6950|MR|E167      |CH|MRI AORTA COARCTATION
6956|MR|E168      |HD|MRI PAED HEAD - BRAIN EPILEPSY
6957|MR|E169      |HD|MRI PAED HEAD - PAEDIATRIC IAMS
766|MR|E17       |HD|MRA HEAD COW C-
6958|MR|E170      |HD|MRI PAED HEAD - PITUITARY
6959|MR|E171      |AB|MRI PAED HEAD-NEUROFIBROMATOSIS TYPE1 FU
6960|MR|E172      |AB|MRI PAED - ANAL FISTULA
6961|MR|E173      |NK|MRI PAED NECK - CONGENITAL NECK
6962|MR|E174      |AB|MRI PAED PELVIC ORGAN TUMOUR
6965|MR|E175      |OT|MRI PAED SOFT TISSUE MASS/VASC MALFORM
6967|MR|E176      |SP|MRI PAED SPINE - SCOLIOSIS
7002|MR|E178      |AB|MRI PAED ABDOMEN C+
7006|MR|E179      |HD|MRI PAED HEAD - ORBITS C-/+
767|MR|E18       |NK|MRA NECK - TOF C-
7282|MR|E180      |HD|MRI PAED HEAD - BRAIN TUMOUR + SPINE FU
7283|MR|E181      |AB|MRI ABDOMEN BILE LEAK
7284|MR|E182      |AB|MRI PELVIS BLADDER CANCER
7285|MR|E183      |AB|MRI PELVIS RECTUM RECURRENCE
7286|MR|E184      |AB|MRI PELVIS VARICES
7287|MR|E185      |OT|MRI TP53 LI-FRAUMENI
7288|MR|E186      |SP|MRI SPINE RT PLANNING
768|MR|E19       |NK|MRA NECK CAROTID C+
7730|MR|E190      |OT|MRI PAEDIATRIC LI-FRAUMENI / TP53
7731|MR|E192      |OT|MRI PAEDIATRIC LI-FRAUMENI / TP53 NON GA
7087|MR|E198      |OT|MRI PLACENTA PRAEVIA-ACCRETE
7567|MR|E199      |AB|MRI PLACENTA
769|MR|E20       |NK|MRA CAROTID/VERTEBRAL DISSECTION C-
770|MR|E21       |HD|MRV HEAD C-
771|MR|E22       |HD|MRV HEAD C+
772|MR|E23       |HD|MRA HEAD - POST COILING C-
773|MR|E24       |HD|MRI HEAD STEALTH C+
774|MR|E25       |CH|MRI CHEST C-
775|MR|E26       |CH|MRI CHEST WALL INVASION C+
776|MR|E27       |CH|MRI CHEST WALL MASS C+
777|MR|E28       |CH|MRI CHEST MEDIASTINAL MASS C+
778|MR|E29       |CH|MRI CHEST AORTA  - DIMENSIONS
779|MR|E30       |CH|MRI CHEST AORTA - DISSECTION
780|MR|E31       |CH|MRA CHEST - PULMONARY ARTERIES
781|MR|E32       |CH|MRV CHEST - PULMONARY VEINS
783|MR|E34       |AB|MRI ABDOMEN LIVER C+
7574|MR|E34HCC    |AB|MRI ABDOMEN LIVER HCC C+/-
784|MR|E35       |AB|MRI ABDOMEN LIVER GAUCHER'S C-
785|MR|E36       |AB|MRI ABDOMEN MRCP C-
786|MR|E37       |AB|MRI ABDOMEN PANCREAS C+
787|MR|E38       |AB|MRI ABDOMEN RENAL MASS C+
788|MR|E39       |AB|MRI ABDOMEN ADRENAL C+
789|MR|E40       |AB|MRI ABDOMEN SMALL BOWEL C+
791|MR|E42       |AB|MRI RECTUM C-/+
792|MR|E43       |AB|MRI ANAL FISTULA C-/+
793|MR|E44       |AB|MRI PELVIS DPG
794|MR|E45       |AB|MRI PELVIS - FEMALE PELVIS SCREEN C-/+
8070|MR|E45FPM    |AB|MRI PELVIS - FEMALE PELVIS MESH
795|MR|E46       |AB|MRI PELVIS - ENDOMETRIAL CANCER C+
7652|MR|E461      |AB|MRI PELVIS - ENDOMETRIOSIS
796|MR|E47       |AB|MRI PELVIS - CERVICAL CANCER C-
797|MR|E48       |AB|MRI ANAL SPHINCTER (TEAR) C-
798|MR|E49       |AB|MRI PELVIS PROSTATE C-
799|MR|E50       |AB|MRI PELVIS CONGENITAL ABNORMALITIES C-
800|MR|E51       |AB|MRI PELVIMETRY C-
801|MR|E52       |AB|MRA ABDOMEN (SMA/COELIAC)
846|MR|E53       |AB|MRA ABDOMEN RENAL ARTERIES C+
802|MR|E54       |AB|MRV ABDOMEN - PORTAL VEIN
803|MR|E55       |SP|MRI BRACHIAL PLEXUS/TRAUMA C-
804|MR|E56       |SP|MRI BRACHIAL PLEXUS C+
806|MR|E58       |SP|MRI SPINE 2 PART C-
807|MR|E59       |SP|MRI SPINE CERVICAL C-
808|MR|E60       |SP|MRI SPINE THORACIC C-
809|MR|E61       |SP|MRI SPINE LUMBAR C-
844|MR|E63       |SP|MRI SPINE C+ (SPECIFY REGION)
843|MR|E64       |SP|MRI SPINE SACROILIAC JOINTS C-
811|MR|E65       |SP|MRI STERNUM C-
813|MR|E67       |UA|MRI SHOULDER
814|MR|E68       |UA|MRI SHOULDER ARTHROGRAM
815|MR|E69       |LA|MRI ELBOW
816|MR|E70       |WR|MRI WRIST
9074|MR|E701      |WR|MRI SCAPHOID
817|MR|E71       |PV|MRI BONY PELVIS
818|MR|E72       |PV|MRI SINGLE HIP
819|MR|E73       |PV|MRI HIP ARTHROGRAM
820|MR|E74       |PV|MRI HIP FRACTURE
821|MR|E75       |PV|MRI HIP METAL
822|MR|E76       |PV|MRI HIP TUMOUR
823|MR|E77       |LL|MRI KNEE
824|MR|E78       |LL|MRI KNEE METAL
825|MR|E79       |FT|MRI ANKLE
826|MR|E80       |FT|MRI EXTREMITY INFECTION C+
827|MR|E81       |FT|MRI FOOT INFECTION C+
828|MR|E82       |FT|MRI BONE LESION C+
829|MR|E83       |OT|MRI MYOSITIS C-
830|MR|E84       |OT|MRI SOFT TISSUE LESION C+
831|MR|E85       |UL|MRA UPPER LIMB C+
832|MR|E86       |LO|MRA LOWER LIMB C-/+
833|MR|E87       |CH|MRI CARDIAC - PRG/NMDHB ONLY
834|MR|E88       |HD|MRI PAED HEAD - Less than 12 months
835|MR|E89       |HD|MRI PAED HEAD - Over 12 months
847|MR|E91       |HD|MRI PAED HEAD - BRAIN TUMOUR
848|MR|E92       |HD|MRI PAED HEAD - NON ACCIDENTAL INJURY
837|MR|E93       |HD|MRI PAED HEAD - VENTRICULAR DILATION
840|MR|E95       |AB|MRI PAED MSK INFECTION
839|MR|E96       |PV|MRI PAED HIPS - SPICA
841|MR|E97       |OT|MRI PAED - POST MORTEM
842|MR|E98       |OT|MRI PAED - FETUS (IN UTERO)
810|MR|E99       |AB|MRI PAED ABDOMEN - LIVER LESION
6989|MR|ENOC+     |OT|CONTRAST CONTRAINDICATED. SCAN WITHOUT C
3236|MR|EZ10      |OT|Unsuccessful MRI - report
6043|MR|EZ20      |OT|Unsuccessful MRI - no report
7779|MR|MRITRAIN  |OT|MRI Training - NO REPORT
7225|MR|PANDEMICMR|NA|Pandemic appt delay/reschedule MRI
8134|MR|ZBRMR001  |OT|ZBRMR001^MRI - Brain
8370|MR|ZBRMR00101|OT|ZBRMR001A^MRI - Brain 2nd item
8353|MR|ZBRMR002  |OT|ZBRMR002^MRI - Pituitary Gland
8135|MR|ZBRMR003  |OT|ZBRMR003^MRI - IAMs
8250|MR|ZBRMR00301|OT|ZBRMR003A^MRI - IAMs 2nd item
8251|MR|ZBRMR004  |OT|ZBRMR004^MRI - Face/ TMJ
8300|MR|ZBRMR00401|OT|ZBRMR004A^MRI - Face/ TMJ 2nd item
8232|MR|ZBRMR005  |OT|ZBRMR005^MRI - Soft Tissue Neck
8301|MR|ZBRMR00501|OT|ZBRMR005A^MRI - Soft Tissue Neck 2nd ite
8275|MR|ZBRMR006  |OT|ZBRMR006A^MRI - Chest,Sternum and/or Rib
8303|MR|ZBRMR00601|OT|ZBRMR006^MRI - Chest, Sternum and/or Rib
8211|MR|ZBRMR007  |OT|ZBRMR007^MRI - Abdomen
8318|MR|ZBRMR008  |OT|ZBRMR008^MRI - Female Pelvis
8349|MR|ZBRMR009  |OT|ZBRMR009^MRI - Male Pelvis
8249|MR|ZBRMR010  |OT|ZBRMR010^MRI - Prostate
8319|MR|ZBRMR011  |OT|ZBRMR011^MRI - Abdomen and Pelvis
8248|MR|ZBRMR012  |OT|ZBRMR012^MRI - Liver
8367|MR|ZBRMR013  |OT|ZBRMR013^MRI - MRCP
8125|MR|ZBRMR014  |OT|ZBRMR014^MRI - Cervical Spine
8216|MR|ZBRMR01401|OT|ZBRMR014GP^MRI - Cervical Spine (GP Refe
8305|MR|ZBRMR01402|OT|ZBRMR014A^MRI - Cervical Spine 2nd Item
8167|MR|ZBRMR015  |OT|ZBRMR015^MRI - Thoracic Spine
8177|MR|ZBRMR01501|OT|ZBRMR015A^MRI - Thoracic Spine 2nd Item
8161|MR|ZBRMR016  |OT|ZBRMR016^MRI - Lumbar Spine
8171|MR|ZBRMR01601|OT|ZBRMR016A^MRI - Lumbar Spine 2nd Item
8241|MR|ZBRMR01602|OT|ZBRMR016GP^MRI - Lumbar Spine (GP Referr
8218|MR|ZBRMR017  |OT|ZBRMR017A^MRI - Sacrum Coccyx 2nd item
8267|MR|ZBRMR01701|OT|ZBRMR017^MRI - Sacrum Coccyx
8184|MR|ZBRMR018  |OT|ZBRMR018^MRI - 2 Region Spine
8279|MR|ZBRMR01801|OT|ZBRMR018A^MRI - Zaid Matti Protocol
8282|MR|ZBRMR019  |OT|ZBRMR019^MRI - Full Spine
8287|MR|ZBRMR020  |OT|ZBRMR020^MRI - C-Spine & Brachial plexus
8124|MR|ZBRMR021  |OT|ZBRMR021^MRI - Shoulder
8196|MR|ZBRMR02101|OT|ZBRMR021A^MRI - Shoulder 2nd Item
8330|MR|ZBRMR022  |OT|ZBRMR022^MRI - Humerus
8348|MR|ZBRMR02201|OT|ZBRMR022A^MRI - Humerus 2nd item
8183|MR|ZBRMR023  |OT|ZBRMR023^MRI - Elbow
8274|MR|ZBRMR02301|OT|ZBRMR023A^MRI - Elbow 2nd item
8306|MR|ZBRMR024  |OT|ZBRMR024A^MRI - Forearm 2nd item
8309|MR|ZBRMR02401|OT|ZBRMR024^MRI - Forearm
8191|MR|ZBRMR025  |OT|ZBRMR025^MRI - Wrist
8341|MR|ZBRMR02501|OT|ZBRMR025A^MRI - Wrist 2nd item
8210|MR|ZBRMR026  |OT|ZBRMR026A^MRI - Hand 2nd item
8225|MR|ZBRMR02601|OT|ZBRMR026^MRI - Hand
8145|MR|ZBRMR027  |OT|ZBRMR027^MRI - MSK Pelvis
8273|MR|ZBRMR02701|OT|ZBRMR027A^MRI - MSK Pelvis 2nd item
8144|MR|ZBRMR028  |OT|ZBRMR028^MRI - Hip
8276|MR|ZBRMR02801|OT|ZBRMR028A^MRI - Hip 2nd item
8188|MR|ZBRMR029  |OT|ZBRMR029^MRI - Thigh
8302|MR|ZBRMR02901|OT|ZBRMR029A^MRI - Thigh 2nd item
8141|MR|ZBRMR030  |OT|ZBRMR030^MRI - Knee
8220|MR|ZBRMR03001|OT|ZBRMR030GP^MRI - Knee (GP Referred)
8291|MR|ZBRMR03002|OT|ZBRMR030A^MRI - Knee 2nd Item
8162|MR|ZBRMR031  |OT|ZBRMR031^MRI - Lower Leg
8331|MR|ZBRMR03101|OT|ZBRMR031A^MRI - Lower Leg 2nd item
8163|MR|ZBRMR032  |OT|ZBRMR032^MRI - Ankle
8229|MR|ZBRMR03201|OT|ZBRMR032A^MRI - Ankle 2nd item
8164|MR|ZBRMR033  |OT|ZBRMR033A^MRI - Foot/Toes 2nd item
8168|MR|ZBRMR03301|OT|ZBRMR033^MRI - Foot/Toes
8213|MR|ZBRMR034  |OT|ZBRMR034^MRI - Arthrogram Shoulder
8332|MR|ZBRMR035  |OT|ZBRMR035^MRI - Arthrogram Hip
8321|MR|ZBRMR042  |OT|ZBRMR042^MRI - MRA Head
8360|MR|ZBRMR046  |OT|ZBRMR046^MRA - Carotid/ Face or Neck
8345|MR|ZBRMR048  |OT|ZBRMR048^MRA - Renal/Visceral
8975|MR|ZBRMR049  |OT|ZBRMR049^MRA - Lower Limb
8335|MR|ZBRMR065  |OT|ZBRMR065^MRI - Other Region (Unspecified
8136|MR|ZBRMR066  |OT|ZBRMR066^MRI - Additional region
8137|MR|ZBRMR067  |OT|ZBRMR067^MRI - Gadolinium Contrast
8255|MR|ZBRMR068  |OT|ZBRMR068^MRI - Gadolinium Contrast >15mL
8343|MR|ZBRMR069  |OT|ZBRMR069^MRI - Primovist Contrast 10ml
8178|MR|ZBRMR070  |OT|ZBRMR070^MRI - Sedation
8351|MR|ZBRMR077  |OT|ZBRMR077^MRI - Breast
3558|MR|ZCMM10    |OT|ZCMM10^10 MLS GADOLINIUM CONTRAST
3552|MR|ZCMMFR    |OT|ZCMMFR^MRI REPORT ONLY
3542|MR|ZCMMRILU  |OT|ZCMMRILU^MRI for Lincoln University rese
3423|MR|ZCMR01    |OT|ZCMR01^MRI BRAIN
3512|MR|ZCMR03    |OT|ZCMR03^MRI INTERNAL AUDITORY MEATIS
3517|MR|ZCMR10    |OT|ZCMR10^MRI FACE/NECK
3527|MR|ZCMR100   |OT|ZCMR100^MRI Whole Body Scan (excludes co
3511|MR|ZCMR20    |OT|ZCMR20^MRI CHEST
3531|MR|ZCMR26    |OT|ZCMR26^MRI BREAST
3485|MR|ZCMR30    |OT|ZCMR30^MRI ABDOMEN
3525|MR|ZCMR36    |OT|ZCMR36^MRI PELVIS
3408|MR|ZCMR40    |OT|ZCMR40^MRI SPINE
3541|MR|ZCMR41    |OT|ZCMR41^MRI CERVICAL SPINE
3543|MR|ZCMR42    |OT|ZCMR42^MRI THORACIC SPINE
3528|MR|ZCMR44    |OT|ZCMR44^TWO SPINE REGIONs
3520|MR|ZCMR50    |OT|ZCMR50^MRI EXTREMITY
3415|MR|ZCMR51    |OT|ZCMR51^MRI UPPER EXTREMITY
3561|MR|ZCMR55    |OT|ZCMR55^MRI SHOULDER GIRDLE
3419|MR|ZCMR56    |OT|ZCMR56^MRI LOWER EXTREMITY
3497|MR|ZCMR57    |OT|ZCMR57^MRI HIP
3508|MR|ZCMR60    |OT|ZCMR60^MRI ARTHROGRAM
3466|MR|ZCMR61    |OT|ZCMR61^MR ARTHROGRAM UPPER EXTREMITY
3475|MR|ZCMR65    |OT|ZCMR65^MR ARTHROGRAM LOWER EXTREMITY
3545|MR|ZCMR71    |OT|ZCMR71^MR ANGIOGRAPHY HEAD
3544|MR|ZCMR72    |OT|ZCMR72^MR ANGIOGRAPHY FACE OR NECK
3559|MR|ZCMR75    |OT|ZCMR75^MRI DEFECOGRAPHY
3473|MR|ZCMR99    |OT|ZCMR99^MRI ADDITIONAL REGION
3428|MR|ZCMZ100   |OT|ZCMZ100^VISIONAIRE MRI
3680|MR|ZCREXS_M  |OT|ZCREXS_MR_A^MR Reporting Request (CRITIC
6222|MR|ZCRMRA10  |OT|ZCRMRA100^MRI Abdomen
6296|MR|ZCRMRA1001|OT|ZCRMRA100A^MRI Abdomen (Additional Regio
6239|MR|ZCRMRA16  |OT|ZCRMRA160^MRI Liver
6909|MR|ZCRMRA1601|OT|ZCRMRA161^MRI Ferriscan Liver
6219|MR|ZCRMRA18  |OT|ZCRMRA180^MRI Enterography Small Bowel
6243|MR|ZCRMRA19  |OT|ZCRMRA190^MRI MRCP
6215|MR|ZCRMRA30  |OT|ZCRMRA300^MRI Pelvis
6221|MR|ZCRMRA3001|OT|ZCRMRA300A^MRI Pelvis (Additional Region
6397|MR|ZCRMRA3002|OT|ZCRMRA301^MRI Pelvis - MSK
8659|MR|ZCRMRA3003|OT|ZCRMRA305^MR Abdomen - MRCP
8687|MR|ZCRMRA3004|OT|ZCRMRA308^MR Abdomen - Pancreas
8825|MR|ZCRMRA3005|OT|ZCRMRA303^MR Abdomen - Liver; Iron Loadi
8970|MR|ZCRMRA3006|OT|ZCRMRA309^MR Abdomen - Adrenal
6955|MR|ZCRMRA31  |OT|ZCRMRA310^MRI Pelvimetry
8762|MR|ZCRMRA3101|OT|ZCRMRA317^MR Abdomen - Renal Mass
8489|MR|ZCRMRA32  |OT|ZCRMRA320^MR Abdomen - Small Bowel
8471|MR|ZCRMRA33  |OT|ZCRMRA330^MR Pelvis - Prostate
8518|MR|ZCRMRA3301|OT|ZCRMRA334^MR Pelvis - Rectal Cancer
8656|MR|ZCRMRA3302|OT|ZCRMRA333^MR Pelvis - Anal Fistula
8794|MR|ZCRMRA3303|OT|ZCRMRA332^MR Pelvis - Anal Sphincter
8834|MR|ZCRMRA3304|OT|ZCRMRA331^MR Pelvis - Anal Cancer
8634|MR|ZCRMRA34  |OT|ZCRMRA340^MR Pelvis - Female Screen
8660|MR|ZCRMRA3401|OT|ZCRMRA348^MR Pelvis - Urethra
8680|MR|ZCRMRA3402|OT|ZCRMRA341^MR Pelvis - DPF Female
8838|MR|ZCRMRA3403|OT|ZCRMRA345^MR Pelvis - Endometrial Cancer
8868|MR|ZCRMRA3404|OT|ZCRMRA349^MR Pelvis - Bladder Cancer
8869|MR|ZCRMRA3405|OT|ZCRMRA346^MR Pelvis - Cervical Cancer
8941|MR|ZCRMRA3406|OT|ZCRMRA342^MR Pelvis - DPF Male
8905|MR|ZCRMRA35  |OT|ZCRMRA350^MR Pelvis - Congenital
8551|MR|ZCRMRA36  |OT|ZCRMRA360^MR Pelvis - MSK
8560|MR|ZCRMRA3601|OT|ZCRMRA363^MR Hip - Unilateral
8685|MR|ZCRMRA3602|OT|ZCRMRA363A^MR Hip (secondary)
8738|MR|ZCRMRA3603|OT|ZCRMRA360A^MR Pelvis (secondary)
8783|MR|ZCRMRA3604|OT|ZCRMRA364^MR Hip - Metal
7411|MR|ZCRMRA40  |OT|ZCRMRA400^MRI Pelvis (MSK)
6203|MR|ZCRMRB10  |OT|ZCRMRB101^MRI Breasts
8355|MR|ZCRMRB1001|OT|ZCRMRB101A^MRI Breasts (Additional Regio
7403|MR|ZCRMRB11  |OT|ZCRMRB110^MRI Breast Biopsy
8470|MR|ZCRMRB60  |OT|ZCRMRB600^MR Breast
8677|MR|ZCRMRB6001|OT|ZCRMRB601^MR Breast - Fast Screen
6233|MR|ZCRMRC10  |OT|ZCRMRC100^MRI Chest
6270|MR|ZCRMRC1001|OT|ZCRMRC100A^MRI Chest (Additional Region)
8510|MR|ZCRMRC1002|OT|ZCRMRC104^MR Chest - Aorta Dimensions
8644|MR|ZCRMRC1003|OT|ZCRMRC106^MR Sternum
8676|MR|ZCRMRC1004|OT|ZCRMRC102^MR Chest - Wall/Ribs
8454|MR|ZCRMRC12  |OT|ZCRMRC122^MR Cardiac - Cardiomyopathy
8649|MR|ZCRMRC1201|OT|ZCRMRC123^MR Cardiac - ARVC
8702|MR|ZCRMRC1202|OT|ZCRMRC126^MR Cardiac - Congenital TGA
8711|MR|ZCRMRC1203|OT|ZCRMRC121^MR Cardiac - Function
8716|MR|ZCRMRC1204|OT|ZCRMRC120^MR Cardiac - Anatomy
8763|MR|ZCRMRC1205|OT|ZCRMRC124^MR Cardiac - Congenital Fontan
8766|MR|ZCRMRC1206|OT|ZCRMRC125^MR Cardiac - Congenital Other
8806|MR|ZCRMRC1207|OT|ZCRMRC127^MR Cardiac - Congenital TOF
6548|MR|ZCRMRC25  |OT|ZCRMRC250^MRI Cardiac (Limited)
7791|MR|ZCRMRC2501|OT|ZCRMRC254^MRI Cardiac ARVC
7792|MR|ZCRMRC2502|OT|ZCRMRC253^MRI Cardiac Cardiomyopathy
7793|MR|ZCRMRC2503|OT|ZCRMRC256^MRI Cardiac Congenital Other
7799|MR|ZCRMRC2504|OT|ZCRMRC255^MRI Cardiac Congenital Fontan
7800|MR|ZCRMRC2505|OT|ZCRMRC258^MRI Cardiac Congenital TOF
7802|MR|ZCRMRC2506|OT|ZCRMRC257^MRI Cardiac Congenital TGA
7803|MR|ZCRMRC2507|OT|ZCRMRC259^MRI Chest Aorta Dimensions
7805|MR|ZCRMRC2508|OT|ZCRMRC251^MRI Cardiac Function
7829|MR|ZCRMRC2509|OT|ZCRMRC252^MRI Cardiac Anatomy
6242|MR|ZCRMRC26  |OT|ZCRMRC260^MRI Cardiac (Standard)
6204|MR|ZCRMRC27  |OT|ZCRMRC270^MRI Cardiac (Complex)
6224|MR|ZCRMRC28  |OT|ZCRMRC280A^MRI Brachial Plexus (Addition
6236|MR|ZCRMRC2801|OT|ZCRMRC280^MRI Brachial Plexus
6267|MR|ZCRMRC51  |OT|ZCRMRC510^MRI Sternum
8447|MR|ZCRMRH00  |OT|ZCRMRH000^MR Head
8497|MR|ZCRMRH0001|OT|ZCRMRH007^MR Head - Pulsatile Tinnitus
8512|MR|ZCRMRH0002|OT|ZCRMRH003^MR Head - Brain Tumour/Complex
8556|MR|ZCRMRH0003|OT|ZCRMRH004^MR Head - Pituitary
8582|MR|ZCRMRH0004|OT|ZCRMRH002^MR Head - Brain TLE
8654|MR|ZCRMRH0005|OT|ZCRMRH009^MR Head - Brain Child Screenin
8698|MR|ZCRMRH0006|OT|ZCRMRH008^MR Head - Base Of Skull
8717|MR|ZCRMRH0007|OT|ZCRMRH001^MR Head - Brain MS
8820|MR|ZCRMRH0008|OT|ZCRMRH006^MR Head - CSF Flow
8866|MR|ZCRMRH0009|OT|ZCRMRH000A^MR Head (secondary)
8553|MR|ZCRMRH01  |OT|ZCRMRH010^MR Head - Cholesteatoma/Tempor
8563|MR|ZCRMRH0101|OT|ZCRMRH015^MRI Head - Meniere's
8600|MR|ZCRMRH0102|OT|ZCRMRH011^MR Head - Cranial Nerves
8849|MR|ZCRMRH0103|OT|ZCRMRH013^MR Head - Perfusion
8855|MR|ZCRMRH0104|OT|ZCRMRH014^MR Head - Spectroscopy
8875|MR|ZCRMRH0105|OT|ZCRMRH012^MR Head - Functional Study
8485|MR|ZCRMRH02  |OT|ZCRMRH020^MR Face
8488|MR|ZCRMRH0201|OT|ZCRMRH021^MR IAMs
8559|MR|ZCRMRH0202|OT|ZCRMRH024^MR TMJ
8565|MR|ZCRMRH0203|OT|ZCRMRH023^MR Orbits
8775|MR|ZCRMRH03  |OT|ZCRMRH030^MR Sinuses
6216|MR|ZCRMRH10  |OT|ZCRMRH103^MRI 3T Level III Complexity
6217|MR|ZCRMRH1001|OT|ZCRMRH100^MRI Head
6252|MR|ZCRMRH1002|OT|ZCRMRH105^MRI Face
6358|MR|ZCRMRH1003|OT|ZCRMRH100A^MRI Head (Additional Region)
6505|MR|ZCRMRH1004|OT|ZCRMRH105A^MRI Face (Additional Region)
7400|MR|ZCRMRH1005|OT|ZCRMRH102^MRI Head (Complex)
7440|MR|ZCRMRH1006|OT|ZCRMRH101^MRI Head (Limited)
6247|MR|ZCRMRH11  |OT|ZCRMRH110^MRI Pituitary Fossa
6281|MR|ZCRMRH1101|OT|ZCRMRH111^MRI Pituitary Gland
6244|MR|ZCRMRH13  |OT|ZCRMRH130^MRI IAM's
6561|MR|ZCRMRH1301|OT|ZCRMRH130A^MRI IAM's (Additional Region)
7056|MR|ZCRMRH1302|OT|ZCRMRH131^MRI Brain screen
6476|MR|ZCRMRH17  |OT|ZCRMRH170^MRI Orbits
6231|MR|ZCRMRH52  |OT|ZCRMRH520^MRI TMJ's
8451|MR|ZCRMRI70  |OT|ZCRMRI700^MR Arthrogram Shoulder
8459|MR|ZCRMRI7001|OT|ZCRMRI704^MR Arthrogram Hip
8663|MR|ZCRMRI7002|OT|ZCRMRI704A^MR Arthrogram Hip (secondary)
8861|MR|ZCRMRI7003|OT|ZCRMRI702^MR Arthrogram Wrist
8979|MR|ZCRMRI7004|OT|ZCRMRI705A^MR Arthrogram Knee (secondary
8539|MR|ZCRMRI71  |OT|ZCRMRI710^MR Breast Biopsy
6198|MR|ZCRMRL10  |OT|ZCRMRL100^MRI Hip
6220|MR|ZCRMRL1001|OT|ZCRMRL100A^MRI Hip (Additional Region)
